stock,stock_close,stock_index,date,index,close,ind_index
BAC,4.96875,349.45056,1985-04-01,GSPC,179.83,176.1485
BAC,5.1875,364.83517,1985-05-01,GSPC,189.55,185.66951
BAC,5.4375,382.41757,1985-06-01,GSPC,191.85001,187.92244
BAC,5.15625,362.63736,1985-07-01,GSPC,190.92,187.01146
BAC,4.71875,331.86813,1985-08-01,GSPC,188.63,184.76836
BAC,4.390625,308.7912,1985-09-01,GSPC,182.08,178.35245
BAC,4.890625,343.95605,1985-10-01,GSPC,189.82001,185.93399
BAC,5.203125,365.93405,1985-11-01,GSPC,202.17,198.03116
BAC,5.65625,397.80219,1985-12-01,GSPC,211.28,206.95465
BAC,5.40625,380.21979,1986-01-01,GSPC,211.78,207.44441
BAC,6.421875,451.64835,1986-02-01,GSPC,226.92,222.27448
BAC,6.1875,435.16483,1986-03-01,GSPC,238.89999,234.00922
BAC,6.6875,470.32968,1986-04-01,GSPC,235.52,230.69841
BAC,6.9375,487.91208,1986-05-01,GSPC,247.35001,242.28624
BAC,6.75,474.72528,1986-06-01,GSPC,250.84,245.70477
BAC,5.953125,418.6813,1986-07-01,GSPC,236.12,231.28612
BAC,6.375,448.35165,1986-08-01,GSPC,252.92999,247.75198
BAC,5.65625,397.80219,1986-09-01,GSPC,231.32001,226.5844
BAC,5.53125,389.01099,1986-10-01,GSPC,243.98,238.98521
BAC,5.4375,382.41757,1986-11-01,GSPC,249.22,244.11795
BAC,5.375,378.02197,1986-12-01,GSPC,242.17,237.21227
BAC,6,421.97803,1987-01-01,GSPC,274.07999,268.46899
BAC,6.21875,437.36264,1987-02-01,GSPC,284.20001,278.38184
BAC,6.3125,443.95605,1987-03-01,GSPC,291.70001,285.7283
BAC,5.90625,415.38461,1987-04-01,GSPC,288.35999,282.45667
BAC,5.875,413.1868,1987-05-01,GSPC,290.10001,284.16104
BAC,6.46875,454.94507,1987-06-01,GSPC,304,297.77649
BAC,6.21875,437.36264,1987-07-01,GSPC,318.66,312.13635
BAC,6.8125,479.12088,1987-08-01,GSPC,329.79999,323.04828
BAC,6.09375,428.57144,1987-09-01,GSPC,321.82999,315.24146
BAC,4.59375,323.07693,1987-10-01,GSPC,251.78999,246.63533
BAC,4.4375,312.08792,1987-11-01,GSPC,230.3,225.58528
BAC,4.3125,303.29669,1987-12-01,GSPC,247.08,242.02176
BAC,5.21875,367.03296,1988-01-01,GSPC,257.07001,251.80725
BAC,5.5625,391.2088,1988-02-01,GSPC,267.82001,262.33716
BAC,4.9375,347.25275,1988-03-01,GSPC,258.89001,253.59
BAC,5.15625,362.63736,1988-04-01,GSPC,261.32999,255.98001
BAC,5.4375,382.41757,1988-05-01,GSPC,262.16,256.79303
BAC,6.0625,426.37363,1988-06-01,GSPC,273.5,267.90088
BAC,5.84375,410.98901,1988-07-01,GSPC,272.01999,266.45117
BAC,6.6875,470.32968,1988-08-01,GSPC,261.51999,256.16614
BAC,7.03125,494.50549,1988-09-01,GSPC,271.91,266.34344
BAC,7.125,501.09891,1988-10-01,GSPC,278.97,273.25891
BAC,6.71875,472.52747,1988-11-01,GSPC,273.70001,268.0968
BAC,6.8125,479.12088,1988-12-01,GSPC,277.72,272.03448
BAC,7.5,527.47253,1989-01-01,GSPC,297.47,291.38016
BAC,8.28125,582.4176,1989-02-01,GSPC,288.85999,282.94641
BAC,8.875,624.17584,1989-03-01,GSPC,294.87,288.83337
BAC,9.09375,639.56042,1989-04-01,GSPC,309.64001,303.30103
BAC,11.71875,824.17584,1989-05-01,GSPC,320.51999,313.95828
BAC,11.3125,795.60437,1989-06-01,GSPC,317.98001,311.47031
BAC,13.375,940.65936,1989-07-01,GSPC,346.07999,338.995
BAC,13.03125,916.48352,1989-08-01,GSPC,351.45001,344.2551
BAC,13.125,923.0769,1989-09-01,GSPC,349.14999,342.00217
BAC,11.8125,830.76923,1989-10-01,GSPC,340.35999,333.39209
BAC,11.71875,824.17584,1989-11-01,GSPC,345.98999,338.90686
BAC,11.5625,813.18683,1989-12-01,GSPC,353.39999,346.16516
BAC,10.5,738.46155,1990-01-01,GSPC,329.07999,322.34302
BAC,11.125,782.4176,1990-02-01,GSPC,331.89001,325.09552
BAC,9.6875,681.31866,1990-03-01,GSPC,339.94,332.98071
BAC,9.5,668.1319,1990-04-01,GSPC,330.79999,324.02783
BAC,9.6875,681.31866,1990-05-01,GSPC,361.23001,353.83487
BAC,9.375,659.34064,1990-06-01,GSPC,358.01999,350.69058
BAC,8.96875,630.76923,1990-07-01,GSPC,356.14999,348.85886
BAC,8.15625,573.6264,1990-08-01,GSPC,322.56,315.95651
BAC,5.34375,375.82419,1990-09-01,GSPC,306.04999,299.78452
BAC,4.3125,303.29669,1990-10-01,GSPC,304,297.77649
BAC,6,421.97803,1990-11-01,GSPC,322.22,315.62347
BAC,5.71875,402.19781,1990-12-01,GSPC,330.22,323.45972
BAC,7.03125,494.50549,1991-01-01,GSPC,343.92999,336.88904
BAC,7.3125,514.28571,1991-02-01,GSPC,367.07001,359.55533
BAC,8.65625,608.7912,1991-03-01,GSPC,375.22,367.53845
